left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
amd,0.99881613,0.99869716,0.99880356,0.9987575,0.9986932,0.9988652,0.9984252,0.99828184,0.9985798,0.99888915,0.9984444,0.99828416,0.99881464,0.9990403,0.9981921,0.99861944,0.9983369,0.9984526,0.99851775,0.9984844
amg,0.9988996,0.9991702,0.9993628,0.99945253,0.9991311,0.9994533,0.9993436,0.999368,0.99933296,0.999142,0.99947935,0.9987808,0.9992492,0.99953604,0.9992072,0.9993973,0.99916327,0.99897563,0.9991269,0.99925655
amh,0.99907076,0.9993743,0.9992864,0.9992728,0.99933994,0.9991827,0.99882835,0.99918234,0.99910486,0.99928963,0.99908054,0.99940884,0.99916464,0.99916726,0.99891424,0.9992672,0.99915445,0.9991083,0.99933624,0.9989246
amn,0.9990966,0.99915236,0.99916536,0.99890614,0.99890685,0.99838614,0.99902594,0.99916905,0.99910194,0.99883676,0.99846363,0.9990872,0.9991784,0.99913025,0.99894243,0.9985311,0.9991677,0.9987894,0.9991959,0.9991375
amq,0.9993534,0.9988395,0.9990561,0.99924767,0.99922323,0.99923456,0.9989158,0.99886477,0.9993036,0.9994348,0.9992131,0.99751115,0.99929357,0.9993324,0.9988341,0.998867,0.9983702,0.9994009,0.9990268,0.99922204
aop,0.99911124,0.99875045,0.99825966,0.9991595,0.99914044,0.9992075,0.99907416,0.9991603,0.9990531,0.9991547,0.999228,0.99907154,0.99882466,0.99890393,0.9990252,0.99925464,0.99899065,0.9994252,0.9989781,0.99916184
aoq,0.9994003,0.9992144,0.9991083,0.99941885,0.9989306,0.99936175,0.99943274,0.9984349,0.9987047,0.9991262,0.9986628,0.99966866,0.9993856,0.999184,0.99925226,0.9991778,0.9993868,0.9985494,0.9991516,0.99832565
aoy,0.99902016,0.9991473,0.9993929,0.99910367,0.9992908,0.9993278,0.9990294,0.99926615,0.99906343,0.9990286,0.99950135,0.99935913,0.9992657,0.99920833,0.99920404,0.99938333,0.99930567,0.9990376,0.9991878,0.9992225
app,0.9993144,0.99865216,0.9992128,0.9989037,0.9987545,0.99946433,0.9986068,0.99928457,0.9989731,0.99896586,0.9992309,0.9990507,0.9992384,0.99901295,0.9990164,0.9990478,0.9992524,0.9990233,0.9988487,0.99896824
apx,0.99918604,0.9989712,0.9991522,0.99901295,0.9989952,0.99875075,0.99931145,0.99932384,0.99917305,0.99921584,0.9993829,0.9991946,0.99934864,0.99914074,0.9993553,0.99912405,0.99920166,0.99885124,0.9993995,0.9992717
aqd,0.99933535,0.9990871,0.998929,0.99930924,0.998803,0.9992877,0.99902606,0.99957573,0.9988972,0.9989999,0.9995098,0.9992456,0.99940515,0.99904084,0.9991944,0.9992839,0.9988654,0.99913406,0.9992121,0.9993149
aqt,0.9989889,0.9989133,0.9992914,0.99919295,0.99924374,0.9993382,0.9991712,0.99925375,0.9993272,0.9988996,0.99933165,0.9991345,0.9991176,0.9989253,0.9992881,0.9986894,0.999047,0.9991082,0.99922585,0.9991945
ara,0.9980178,0.9988596,0.9991287,0.99848753,0.9991027,0.9990492,0.99807,0.99907166,0.9990469,0.9988804,0.9991656,0.99876857,0.99899626,0.9987656,0.99880576,0.9989884,0.99903834,0.9990341,0.9994569,0.99879956
arq,0.99894154,0.99911493,0.9992202,0.99900365,0.99911976,0.9988364,0.99923635,0.9990353,0.99905574,0.99901444,0.9987016,0.99909574,0.9991376,0.99891585,0.99912584,0.9992751,0.99880177,0.9991035,0.9991836,0.9989996
aru,0.998928,0.99936825,0.9994256,0.99900305,0.9989536,0.99884677,0.9991763,0.9990586,0.9992176,0.99924135,0.99928415,0.9989228,0.9992697,0.9992078,0.9993078,0.9991608,0.99897337,0.9992775,0.999158,0.9989573
asf,0.9983652,0.9992208,0.99920785,0.99904656,0.9993218,0.99902654,0.99861896,0.99927,0.99922,0.9989711,0.99854183,0.9989755,0.9991398,0.9991398,0.9992807,0.99921584,0.99906206,0.9991804,0.99908084,0.9989374
ass,0.99938595,0.99892914,0.9994352,0.9992814,0.9992677,0.99932563,0.999303,0.99934417,0.99929875,0.9993256,0.99910474,0.9985405,0.99938565,0.99916327,0.9993268,0.999189,0.9990107,0.99892205,0.99955416,0.99940956
ate,0.99939203,0.9993156,0.999213,0.99904454,0.99919116,0.9994228,0.9988847,0.99888444,0.99900925,0.99943703,0.99906015,0.99907815,0.9990695,0.9991844,0.9992311,0.9994797,0.9992751,0.9990268,0.9994239,0.99845195
atf,0.99887204,0.9992535,0.9991659,0.9994426,0.9993206,0.9992599,0.9989032,0.999153,0.99926007,0.999352,0.99940586,0.99889106,0.99914336,0.99921846,0.9991758,0.9989996,0.9993112,0.99942863,0.99961126,0.9992677
atj,0.9992342,0.9989884,0.99921715,0.9993437,0.99900556,0.99913955,0.9990519,0.999154,0.9976826,0.9990145,0.99898684,0.9991772,0.999089,0.99889195,0.99920416,0.9993669,0.9991585,0.99874926,0.9991718,0.9990758
atv,0.99825716,0.9987379,0.99873555,0.99907243,0.99926883,0.99907243,0.99904805,0.9985549,0.99886596,0.9986576,0.9988702,0.9989346,0.9988166,0.9985398,0.9986218,0.99855506,0.99914974,0.99931145,0.99915844,0.99888253
auc,0.99941385,0.9979321,0.9992821,0.99875754,0.99874544,0.99954134,0.99905753,0.99841833,0.9991285,0.9992877,0.99922013,0.9990728,0.9987711,0.9989542,0.998313,0.9982392,0.99942243,0.9994149,0.99890417,0.9993733
aul,0.9991821,0.99908566,0.9992137,0.99877226,0.9990399,0.9994887,0.9987408,0.99915767,0.99907094,0.99923605,0.9990098,0.9986625,0.99879456,0.99916303,0.99906135,0.99917483,0.99909973,0.9991802,0.9989905,0.99940264
avp,0.9989029,0.9985374,0.99852574,0.99875176,0.99873286,0.9987022,0.9990129,0.99908125,0.99908304,0.9993938,0.99911207,0.99921477,0.99890614,0.9992647,0.9992571,0.9987457,0.999197,0.99902433,0.99919975,0.9990411
awk,0.9992828,0.9972341,0.99937326,0.9994044,0.99949443,0.9984068,0.9993472,0.99909055,0.99941015,0.9987993,0.99887556,0.99917144,0.99924326,0.9988931,0.99910367,0.99945104,0.9994188,0.99953234,0.9993262,0.9988313
awp,0.9990829,0.9994508,0.9987532,0.99910295,0.9991897,0.9988719,0.99889135,0.99871117,0.9990779,0.9988596,0.9990159,0.99893963,0.999134,0.99902165,0.99913305,0.99862516,0.998561,0.9991582,0.99910235,0.9989125
awu,0.99840486,0.9991569,0.9991908,0.99949723,0.9991599,0.99860895,0.9993443,0.9993458,0.99908954,0.99927026,0.9991749,0.9993019,0.99911094,0.9993911,0.9991106,0.9991923,0.9994071,0.99916464,0.9993187,0.9991973
axn,0.99960417,0.9993851,0.999256,0.99896735,0.9990952,0.998827,0.99893945,0.99915004,0.999259,0.9993757,0.99925125,0.9989963,0.9988382,0.9991866,0.99901634,0.99881124,0.9989623,0.9987507,0.99925303,0.9993279
axo,0.9990957,0.9989636,0.9992714,0.9989207,0.99909234,0.9993899,0.9990511,0.9992403,0.9993988,0.99923223,0.9990553,0.9990438,0.99883735,0.9991842,0.99917173,0.9988687,0.99849,0.9988761,0.9994141,0.99952245
axp,0.9993151,0.99934196,0.9992639,0.9990496,0.9990822,0.9994575,0.9988487,0.9990722,0.99917084,0.99939877,0.99923253,0.9995329,0.9989345,0.99934876,0.99918413,0.9993727,0.9992341,0.9992124,0.9991286,0.99936885
ayc,0.99945974,0.9992987,0.99927974,0.9993524,0.9994853,0.9993975,0.99946284,0.9995539,0.99918705,0.9993079,0.9995549,0.9993548,0.999247,0.9989424,0.9992193,0.9996277,0.999442,0.9994682,0.9996004,0.99923116
ayg,0.999436,0.999332,0.9994034,0.9995561,0.9986842,0.9991216,0.99932957,0.99924195,0.99940383,0.9994952,0.999305,0.9994267,0.9992246,0.9994298,0.99943227,0.9992069,0.99937546,0.9994809,0.9996611,0.99930894
azb,0.99924105,0.9993925,0.9992029,0.9992062,0.9991797,0.99900824,0.9991684,0.99932075,0.99933016,0.99749136,0.9992455,0.99934655,0.99890184,0.9993369,0.9992058,0.9994099,0.99892527,0.9991727,0.99919355,0.9993908
azo,0.9993539,0.99921143,0.99935704,0.998664,0.9994705,0.9991842,0.9990571,0.99926704,0.99919796,0.99908954,0.99942493,0.99863243,0.9990359,0.99877876,0.9992497,0.9993874,0.9993633,0.99943346,0.9988696,0.9994328
ban,0.99944544,0.99930453,0.9991927,0.9992712,0.9990121,0.9990328,0.99909914,0.9992877,0.99886847,0.9992629,0.99931884,0.99933904,0.9992473,0.9993424,0.99945974,0.9991809,0.9990067,0.99914503,0.9993854,0.9993385
bao,0.99911165,0.99912184,0.99914074,0.9990387,0.99931145,0.9988572,0.9990071,0.99915874,0.9993113,0.99936354,0.99896234,0.99895465,0.99937737,0.9990078,0.998268,0.9987061,0.9990684,0.99910486,0.9988606,0.999076
bar,0.99868023,0.9993979,0.9990103,0.9989377,0.9989387,0.999598,0.9989216,0.9990394,0.9989935,0.9988471,0.99890155,0.99911916,0.9992025,0.99887764,0.99910945,0.99897695,0.9990329,0.9991035,0.9989109,0.9989996
bas,0.9992617,0.9991685,0.99909174,0.99897486,0.99938554,0.9990527,0.99918854,0.9987525,0.9993286,0.99936736,0.9993814,0.9991143,0.99905276,0.99920595,0.9992785,0.998826,0.9991053,0.9990423,0.9991106,0.99914575
bbn,0.9992924,0.9987826,0.99935585,0.99908876,0.99945337,0.9993928,0.99884105,0.9990375,0.9989051,0.9990776,0.99876314,0.99828494,0.9993515,0.9990479,0.9989182,0.99929625,0.9992354,0.99927115,0.99956745,0.9992734
bbt,0.99921954,0.9989583,0.99904776,0.9989223,0.9992711,0.9988973,0.9992136,0.9987738,0.9990828,0.99917954,0.99952066,0.9988147,0.99871546,0.9991081,0.9981228,0.9987564,0.999169,0.9986902,0.9983211,0.9985367
bcf,0.99893296,0.9993179,0.99932027,0.9988897,0.9990013,0.99913126,0.99943495,0.9994851,0.9992516,0.99930596,0.9996029,0.99904,0.99952066,0.9992831,0.99945116,0.9992312,0.99941504,0.99931705,0.99939877,0.9992247
bcg,0.9988159,0.9991568,0.99929345,0.99937177,0.99901354,0.99932396,0.99922305,0.99903023,0.9989048,0.9993105,0.99947107,0.9992396,0.9990335,0.99924624,0.9991443,0.9985547,0.9993163,0.99901193,0.99932665,0.9987882
bci,0.9994046,0.9993411,0.9993082,0.9993302,0.99935967,0.9990305,0.99921274,0.9990481,0.99910253,0.9993907,0.99949014,0.9993253,0.999334,0.9992174,0.99921215,0.99947894,0.9990574,0.9988084,0.9992841,0.99908936
bcj,0.99827075,0.9988432,0.9989822,0.99899405,0.9989145,0.9988265,0.99857056,0.9988249,0.9985435,0.9984846,0.99901354,0.9989799,0.99901366,0.9988259,0.99916494,0.99900657,0.99904287,0.9988092,0.9988981,0.9990242
bcn,0.9989704,0.9989897,0.9991406,0.99947786,0.9989867,0.9984422,0.9992083,0.9991378,0.9993675,0.99900174,0.9991035,0.9992242,0.99913627,0.9990589,0.99928087,0.9989687,0.9990258,0.9992471,0.99925405,0.9988568
bcw,0.9992369,0.9994323,0.9990118,0.9992936,0.9994018,0.99905854,0.99958813,0.99950445,0.9992044,0.99910367,0.9989742,0.99912286,0.9991894,0.99930763,0.9992688,0.9991686,0.99945915,0.9993156,0.99916923,0.9991136
bdv,0.99956274,0.9989436,0.99907416,0.9990444,0.9995278,0.9993714,0.99909675,0.99952775,0.99885505,0.9994216,0.9994024,0.9993907,0.9994854,0.99929786,0.99941266,0.99917114,0.99923325,0.9993399,0.9991598,0.9991203
bep,0.9992354,0.9984175,0.99887204,0.99946654,0.99939126,0.9986723,0.9992241,0.9994167,0.9995841,0.9995196,0.99926066,0.99933726,0.9992616,0.9991083,0.99922085,0.9991838,0.9995153,0.9991761,0.9992722,0.99910164
bew,0.99852496,0.9986352,0.9989729,0.9990818,0.998751,0.99903333,0.9985211,0.998858,0.998402,0.99868584,0.9989649,0.99894917,0.9990051,0.9986528,0.9987408,0.9986242,0.9986466,0.9981605,0.99876624,0.9987706
bfc,0.9989435,0.99923784,0.99907804,0.998816,0.99850535,0.99896073,0.99900454,0.99821556,0.99904305,0.99923956,0.99903953,0.9990665,0.99917936,0.99890727,0.9990665,0.9988477,0.9987813,0.99915785,0.99884623,0.9991915
bft,0.99923944,0.99952084,0.9988351,0.9996557,0.99881047,0.9991918,0.9994228,0.99909794,0.9992715,0.9991956,0.9989854,0.9995602,0.9982773,0.9988805,0.99894154,0.9990464,0.9993199,0.9993321,0.9992454,0.99874353
bfx,0.9991019,0.9992186,0.9987507,0.99918914,0.9991976,0.99913996,0.99917454,0.99895847,0.9992231,0.9991741,0.9991926,0.99927586,0.9991848,0.9990927,0.99926186,0.99897707,0.99907976,0.99914944,0.9975716,0.99913216
bhw,0.9987743,0.9988815,0.99887824,0.9985663,0.999097,0.9990728,0.9991594,0.99875706,0.9991515,0.99900717,0.9991421,0.9987068,0.9982228,0.99915785,0.99875414,0.99925673,0.99921453,0.99905396,0.99858284,0.9986294
bim,0.998801,0.9989146,0.9985305,0.9990264,0.99843585,0.9984949,0.9981099,0.99858725,0.9990638,0.998613,0.9983114,0.9988322,0.9991052,0.99884117,0.9986911,0.99898684,0.9986574,0.99890304,0.9985746,0.99838984
bis,0.9994314,0.9992728,0.999357,0.99912703,0.9993421,0.9991846,0.9995589,0.99902,0.9994651,0.99926645,0.99908686,0.99936795,0.99916613,0.99916786,0.9995116,0.99938846,0.9995196,0.99957114,0.99947834,0.9993025
biu,0.999146,0.99906814,0.99911124,0.99932265,0.9989181,0.9989979,0.999025,0.99879324,0.9992715,0.99920225,0.9991781,0.9990325,0.9990848,0.9992349,0.9990679,0.99916893,0.9988532,0.9988222,0.99890846,0.9990041
bjq,0.9989693,0.9994511,0.9993934,0.99929625,0.9994644,0.9989484,0.9990927,0.9990945,0.99922043,0.9994762,0.99903274,0.9995421,0.99922943,0.9988914,0.99910265,0.9990009,0.9989183,0.99936837,0.99935746,0.9993991
bjr,0.9994547,0.99826777,0.9990573,0.9992074,0.99931836,0.999159,0.99928504,0.9995157,0.9992994,0.99875104,0.9984776,0.99951494,0.998068,0.99946,0.99952424,0.99929035,0.99932563,0.99970275,0.9993941,0.99929416
bkt,0.9993237,0.9990177,0.99866545,0.99858904,0.99947363,0.99921304,0.99928844,0.99920607,0.9993124,0.99919534,0.9991239,0.9993212,0.99905324,0.9993024,0.999243,0.99942136,0.9992999,0.99936986,0.99930173,0.9988282
blg,0.9988796,0.99916553,0.99884236,0.9990873,0.9990305,0.998855,0.99910676,0.9987616,0.9985351,0.9990512,0.99907434,0.9990641,0.9988974,0.99870324,0.9991154,0.9989975,0.99918395,0.9985691,0.9988653,0.99868953
blu,0.99908817,0.9990698,0.9990698,0.9994433,0.999082,0.9992622,0.99922204,0.99893796,0.9989799,0.9990349,0.9990503,0.999308,0.9992433,0.99914145,0.99914265,0.9991855,0.99941254,0.99918723,0.9988774,0.9986622
bmj,0.9992722,0.99911445,0.9990753,0.9991288,0.9992987,0.9991271,0.9990814,0.9990886,0.9989692,0.9988306,0.99936044,0.99932957,0.99915713,0.9991188,0.99888754,0.9990145,0.9988365,0.99885154,0.99924654,0.998917
bmw,0.99889445,0.9993315,0.9987968,0.9987959,0.9986645,0.998965,0.9989904,0.9989481,0.9991306,0.99916166,0.99905246,0.99894726,0.9988711,0.998984,0.99909884,0.9991406,0.9988957,0.9989656,0.99907917,0.998997
bni,0.99944746,0.9991844,0.99909353,0.9994263,0.99933374,0.99952424,0.99955654,0.9992452,0.99913955,0.99874455,0.9993447,0.99908,0.9991269,0.9993257,0.99937916,0.99937963,0.9988669,0.9990774,0.99895483,0.9993016
bnm,0.9994517,0.99952674,0.99937356,0.9989663,0.99870616,0.9993119,0.9994688,0.9988129,0.99933124,0.9993383,0.9990771,0.9994832,0.99898994,0.9990144,0.9991225,0.999364,0.99909383,0.99902165,0.99892694,0.9993832
bos,0.99912524,0.9993074,0.9990322,0.999187,0.9987166,0.999254,0.9987573,0.9990767,0.99846417,0.99918437,0.99863577,0.99913675,0.9988506,0.9984414,0.99909675,0.9990747,0.999032,0.99944997,0.9990258,0.9992205
bpg,0.99894655,0.9991115,0.99915093,0.99927765,0.99921036,0.99947006,0.9993934,0.9994058,0.99935114,0.9991494,0.9994215,0.9991064,0.999017,0.99906206,0.99946713,0.9989537,0.9992493,0.99955416,0.99924916,0.99921155
bph,0.99922615,0.9990924,0.99927616,0.9993036,0.9991623,0.9988843,0.9992508,0.99935627,0.9994936,0.9993419,0.9988276,0.9989569,0.9993106,0.9990424,0.99912655,0.9988301,0.9993377,0.9994393,0.99919546,0.9992844
bpv,0.9989171,0.9991701,0.9990346,0.9991997,0.9989351,0.99934524,0.998404,0.9990947,0.99926674,0.9991976,0.9990187,0.9987961,0.9990659,0.9989864,0.9991949,0.99920577,0.9988632,0.99936646,0.9992784,0.999354
bqc,0.9993704,0.9993407,0.9991838,0.99884075,0.9986764,0.99946964,0.9994135,0.99928665,0.9992198,0.99924386,0.9993533,0.9992452,0.999439,0.9992699,0.99896866,0.99924576,0.9993646,0.9990991,0.99922884,0.99911606
bqp,0.99925405,0.99908745,0.99936336,0.99908876,0.9990246,0.99911255,0.9991219,0.99942064,0.9989749,0.99928886,0.9992315,0.99889755,0.99902487,0.9989318,0.9991893,0.9992652,0.9992138,0.9987187,0.999099,0.9991184
bqq,0.9994818,0.99928665,0.9994128,0.9989591,0.9993344,0.9993389,0.9994358,0.9992025,0.9993587,0.99933875,0.9991864,0.99937147,0.99899054,0.9991591,0.9992988,0.9997141,0.999333,0.99934936,0.9993007,0.99944997
brj,0.99948144,0.9991474,0.9994751,0.9994379,0.99954367,0.99917185,0.9992977,0.9992229,0.999019,0.9994627,0.99917114,0.99947214,0.9993961,0.9993737,0.9990154,0.9994657,0.9994358,0.99929285,0.9992937,0.99895084
brr,0.9991455,0.9989908,0.9985389,0.99898314,0.9990934,0.99909526,0.9985756,0.999044,0.9992268,0.99902,0.99921775,0.99916935,0.99927807,0.99920464,0.99907535,0.9993453,0.99894035,0.9987967,0.9989438,0.998894
bug,0.9989479,0.9992453,0.99938476,0.99931383,0.9992749,0.9992296,0.9989103,0.9993138,0.9988603,0.9991232,0.9988151,0.9994318,0.99939644,0.99899095,0.99875665,0.99943566,0.9992367,0.99932206,0.99902916,0.9989438
bul,0.99937487,0.9995525,0.99936,0.9994873,0.9991106,0.99962723,0.9992251,0.99948174,0.9991349,0.9994228,0.99929845,0.99912083,0.99936074,0.99946105,0.999025,0.9990086,0.9993968,0.9994289,0.999372,0.9989115
buw,0.999507,0.99918824,0.99949944,0.9992372,0.99922824,0.9994803,0.99926925,0.99902683,0.99950397,0.9993413,0.9989131,0.99938816,0.99918985,0.99893415,0.9992986,0.9996465,0.9993045,0.9991998,0.9995569,0.9991986
buy,0.9992689,0.9989728,0.99925673,0.9992067,0.9993671,0.9992231,0.9991554,0.99962986,0.99913555,0.99913216,0.9993683,0.99918616,0.99945885,0.9991554,0.99913603,0.9990525,0.9991461,0.99895966,0.99942976,0.9993918
bvh,0.99919,0.99847776,0.99913996,0.99915844,0.9990893,0.9992748,0.99909216,0.99909383,0.9994793,0.9994546,0.99898195,0.9991576,0.99953824,0.9993409,0.99914175,0.99849105,0.99890023,0.99947846,0.9987668,0.99860716
bvi,0.99883497,0.9993035,0.9991767,0.99874824,0.99923444,0.9993953,0.9993641,0.9992189,0.9986898,0.99923515,0.9990963,0.99934506,0.9991675,0.9992895,0.99964345,0.9988785,0.9988413,0.9989048,0.99889857,0.9980395
bvs,0.9991412,0.9989544,0.9995309,0.9988409,0.9988941,0.99919456,0.9993155,0.9991473,0.9989468,0.998806,0.99926436,0.99932337,0.9994695,0.9984602,0.9990092,0.9993024,0.9990624,0.9994203,0.99913234,0.99921817
bvw,0.99878746,0.99949485,0.99931866,0.9989519,0.9993645,0.9992944,0.9993235,0.9995068,0.9995193,0.99850714,0.99923617,0.9993644,0.99944526,0.9990747,0.9994918,0.99949545,0.9992167,0.99962395,0.9989271,0.99882424
bwb,0.99914527,0.9990809,0.9995576,0.9992888,0.99904966,0.9992489,0.99939287,0.99919677,0.99927485,0.99946284,0.9994119,0.9989569,0.99944913,0.999112,0.99954236,0.99959403,0.9994092,0.9990196,0.9987575,0.9990399
