left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
alx,0.056987796,0.15954816,0.44499856,0.19919197,0.111667074,0.08679688,0.17581391,0.6001934,0.19057198,0.46969613,0.3087929,0.11833952,0.30251133,0.778394,0.23742855,0.1509099,0.16428685,0.6763503,0.7869149,0.12196999
aly,0.28455332,0.24128473,0.69026875,0.2112008,0.35322708,0.33094087,0.6012815,0.30964634,0.35541216,0.9108428,0.40709546,0.64335835,0.7471689,0.085290566,0.64538705,0.4371062,0.47879282,0.17982024,0.118967555,0.7356775
ama,0.55175364,0.13218063,0.85830057,0.42764252,0.39651644,0.46645516,0.674273,0.72286344,0.31256372,0.12290192,0.5793489,0.7935738,0.16122627,0.53880507,0.13063595,0.1343757,0.1394154,0.2809164,0.27620566,0.41098383
amb,0.303821,0.07758801,0.28334215,0.46648726,0.18084812,0.88329935,0.41027266,0.16287291,0.19669658,0.16372192,0.16220042,0.9458274,0.19301471,0.36663222,0.22500621,0.42749244,0.18974246,0.73004735,0.54761785,0.16519745
amd,0.39216077,0.19779627,0.5330125,0.54216707,0.47872365,0.6023587,0.26180845,0.34189934,0.32747108,0.28293422,0.26164338,0.48392648,0.2990718,0.8300258,0.6093739,0.5045098,0.3086608,0.57412684,0.4755879,0.42485145
amg,0.13173899,0.42279208,0.14858489,0.78162485,0.18514936,0.78756714,0.6517341,0.93075323,0.68693066,0.14423397,0.16851419,0.73757195,0.17447251,0.13071513,0.042817265,0.6353021,0.17436516,0.3674962,0.17365445,0.25141415
amh,0.26667804,0.9892759,0.993782,0.98700094,0.11464,0.110277936,0.115198866,0.15023255,0.89880097,0.2500595,0.06673823,0.22900191,0.13772094,0.23612759,0.23676503,0.27290452,0.20557085,0.11373992,0.19222307,0.16373292
amn,0.35963425,0.19220588,0.8950904,0.68292594,0.4341275,0.32007158,0.19677922,0.24228336,0.3525064,0.4764889,0.5004042,0.7698374,0.76224375,0.22685288,0.28660917,0.84548116,0.18893652,0.88370836,0.71520734,0.2817316
amq,0.27839726,0.33672982,0.21347319,0.50885427,0.27308375,0.33566824,0.12245293,0.86287,0.2715557,0.31677067,0.100697115,0.9535485,0.828796,0.39667284,0.34877363,0.65191233,0.9024314,0.84214336,0.6759881,0.1862882
aop,0.22331879,0.09908249,0.43176967,0.10991447,0.6910364,0.70595,0.8152516,0.6978116,0.15892366,0.14391354,0.6039654,0.3219071,0.10005703,0.11702022,0.78932905,0.61912036,0.42237166,0.35349852,0.11143206,0.54778457
aoq,0.6296607,0.5350191,0.44837794,0.27312222,0.4270957,0.7491145,0.52344465,0.18400598,0.18658347,0.3876713,0.28323147,0.57417035,0.43189538,0.4719939,0.4647318,0.5104939,0.44575664,0.19435863,0.2031807,0.17597722
aoy,0.57314587,0.7387037,0.6935723,0.69107777,0.053877346,0.41564965,0.12712811,0.7923076,0.09741856,0.1531671,0.31250495,0.07370491,0.10769105,0.7606487,0.41898102,0.05165138,0.07703467,0.1053195,0.24795279,0.076319024
app,0.54059726,0.5727571,0.16085643,0.8187996,0.33523336,0.4186269,0.30488607,0.4632641,0.19193295,0.4813296,0.7768246,0.2711096,0.15105249,0.41933233,0.2223201,0.1883279,0.59438217,0.29311752,0.2244471,0.22146407
apx,0.77322924,0.17563255,0.1727794,0.5083264,0.09169171,0.25130332,0.1943625,0.17460667,0.18756327,0.9077026,0.75340164,0.18912828,0.90126115,0.61929536,0.92904973,0.18433893,0.2473417,0.6663727,0.2920203,0.33624434
aqd,0.4908419,0.68506885,0.6481974,0.47198647,0.14658214,0.39185703,0.45888272,0.25886223,0.72761416,0.14724295,0.35078955,0.9035655,0.4072798,0.652622,0.668466,0.71378505,0.1481261,0.11421436,0.15334228,0.5738662
aqt,0.10885384,0.15774348,0.9860725,0.060639,0.9973242,0.9991909,0.26409227,0.14952487,0.9983752,0.11000683,0.9232744,0.25837284,0.18064094,0.17377165,0.75568503,0.9945047,0.11605571,0.111005306,0.19717681,0.33250046
ara,0.86161727,0.28671467,0.62614626,0.19900689,0.57988733,0.59228474,0.22087221,0.54062617,0.2913801,0.124812566,0.8932934,0.40222818,0.36105856,0.6439667,0.1604374,0.88658243,0.6934258,0.3423762,0.8691436,0.115645096
arq,0.1755815,0.20488764,0.14683917,0.44764587,0.22860958,0.23731524,0.6662432,0.6303195,0.9519243,0.09833188,0.17169203,0.33143938,0.2134876,0.35949558,0.5448221,0.543695,0.27961844,0.96603155,0.3013215,0.20787169
aru,0.23339155,0.7994356,0.7018393,0.17632785,0.16788304,0.12936112,0.7259382,0.6510015,0.5408178,0.59060067,0.5372775,0.5032172,0.6690886,0.58725584,0.59183896,0.5335965,0.12639643,0.8450916,0.75744665,0.47796068
asf,0.14635491,0.42360425,0.19405004,0.17158388,0.335001,0.7205558,0.5415892,0.8702823,0.058409803,0.4668116,0.42624417,0.37864047,0.64760214,0.20162238,0.05939289,0.53275937,0.11676344,0.72724116,0.20140088,0.07461486
ass,0.37424698,0.61457443,0.751466,0.36491427,0.23560262,0.75148463,0.25853074,0.31637564,0.31796563,0.1984745,0.38370878,0.2972132,0.39370644,0.45082876,0.29586595,0.16640054,0.5925297,0.38799584,0.6053706,0.4706099
ate,0.9970849,0.10621311,0.21496621,0.48894703,0.997648,0.17038634,0.13924605,0.06385136,0.034339286,0.995819,0.13432641,0.130543,0.15068907,0.50152135,0.074588254,0.34152612,0.22298416,0.9954465,0.116773665,0.98638725
atf,0.060195714,0.19686902,0.09323247,0.5693685,0.46760666,0.736598,0.101780534,0.09293583,0.22585785,0.08298315,0.16331765,0.1889736,0.3073288,0.6787424,0.12939054,0.10348746,0.7980521,0.78616846,0.6737371,0.7132948
atj,0.24087444,0.8554776,0.6379171,0.56772476,0.57201797,0.26004317,0.1489251,0.09596048,0.8818954,0.66861683,0.08310202,0.5205133,0.29295126,0.2843406,0.30868924,0.38692355,0.29689276,0.86883503,0.40539438,0.6690526
atv,0.16530661,0.99538255,0.9979672,0.23872924,0.99873495,0.054944694,0.9984437,0.9338223,0.9826209,0.12694332,0.17806408,0.99878585,0.15252903,0.1369829,0.10103801,0.056555223,0.03587482,0.98263997,0.99503976,0.43017232
auc,0.8153789,0.32562357,0.6569942,0.6942141,0.7228182,0.5260079,0.6526216,0.43054464,0.5535315,0.4555025,0.30734354,0.5232341,0.6814348,0.2474201,0.72699,0.59806097,0.88784707,0.18273358,0.44036663,0.6151253
aul,0.3374903,0.38654488,0.4370258,0.51702964,0.38033268,0.7867074,0.855468,0.32721815,0.20084248,0.72461885,0.21284196,0.21898952,0.33951384,0.6774559,0.26815554,0.25496608,0.47988504,0.3353944,0.21459582,0.6450753
avp,0.80362445,0.09956883,0.42607486,0.12725271,0.38389513,0.8491425,0.3054115,0.43993175,0.6193621,0.48381522,0.10795533,0.18786576,0.21550773,0.59551036,0.60724676,0.11541401,0.3558623,0.15497288,0.45494485,0.6503571
awk,0.57348233,0.20214166,0.67362726,0.443023,0.66102487,0.302786,0.3715395,0.23700938,0.89656794,0.5561608,0.37716895,0.15639023,0.4985146,0.3950521,0.57748187,0.6985104,0.23616022,0.5610509,0.4584468,0.17817858
awp,0.15609682,0.12740147,0.26123008,0.10592897,0.68499565,0.7165306,0.19876967,0.7479493,0.7899927,0.25850147,0.18484613,0.19853462,0.14794722,0.19937554,0.9096394,0.78927886,0.90023035,0.0761846,0.6221854,0.6503832
awu,0.27409562,0.993558,0.14282511,0.99796236,0.99289775,0.26632604,0.11477293,0.993542,0.16256157,0.1408622,0.20520051,0.9837347,0.16596912,0.9970328,0.95363235,0.1425464,0.08337276,0.10680294,0.2350178,0.9946482
axn,0.8361368,0.2829268,0.256773,0.38626727,0.66931343,0.37230003,0.14168021,0.13320227,0.08677575,0.2651183,0.16157088,0.37659663,0.19948016,0.19438161,0.08058383,0.12508047,0.5125103,0.2709879,0.2135241,0.9653737
axo,0.17550743,0.71404797,0.028937617,0.34163767,0.42646423,0.28829992,0.15598437,0.38050133,0.18710189,0.568597,0.6706544,0.5965788,0.23995635,0.6732911,0.82792634,0.8914207,0.3606424,0.23532113,0.9237603,0.6646316
axp,0.20015103,0.23206325,0.14561605,0.34252715,0.26136518,0.3980024,0.21039763,0.3855729,0.43937084,0.13685977,0.20143706,0.54159933,0.16237804,0.48534414,0.21565601,0.18275431,0.22926322,0.13488916,0.80428207,0.56796855
ayc,0.7749383,0.12226566,0.74021107,0.23982285,0.2608017,0.3862745,0.71914685,0.280308,0.18588492,0.39505655,0.20492688,0.949767,0.09442983,0.64335847,0.28007096,0.22321984,0.17988402,0.21797246,0.21722323,0.17791972
ayg,0.5119536,0.4625883,0.5363301,0.6615509,0.27347946,0.6907282,0.6693409,0.12680289,0.10832175,0.53147054,0.2919199,0.5006285,0.09860174,0.77284825,0.71429944,0.5649857,0.3115381,0.62032795,0.36780214,0.14318295
azb,0.43770027,0.7820966,0.3458839,0.8996034,0.8072269,0.60168684,0.34586105,0.83263755,0.28232357,0.10147905,0.79902136,0.40081084,0.8010408,0.5731635,0.4408738,0.33998287,0.7300481,0.31327778,0.5806588,0.3751685
azo,0.4572137,0.715214,0.53275955,0.26482224,0.36411443,0.8248329,0.42435366,0.67976975,0.6254928,0.15050195,0.5181105,0.2866907,0.16720787,0.5289749,0.40571392,0.52547276,0.33819628,0.601373,0.17598294,0.69533527
ban,0.21185386,0.43455064,0.89423126,0.58618504,0.27500206,0.3903824,0.14846326,0.34679502,0.30274147,0.9315051,0.35310936,0.445478,0.68412113,0.2844404,0.24195504,0.56806207,0.52698976,0.121024355,0.23436233,0.59420854
bao,0.48225546,0.37186623,0.33867636,0.3323567,0.5384081,0.3559418,0.49279332,0.34686166,0.34865326,0.63268006,0.4979805,0.4428092,0.5690527,0.40062606,0.45662987,0.5469171,0.50424254,0.5864903,0.4022488,0.450191
bar,0.10368122,0.98956627,0.90564287,0.09348413,0.49590254,0.9988378,0.9223363,0.20840362,0.033098765,0.058894776,0.1626618,0.10582594,0.35326654,0.030311821,0.0786522,0.12463714,0.93057764,0.10821666,0.12689732,0.12235089
bas,0.10528621,0.10964277,0.29658088,0.6975062,0.730488,0.9012029,0.42630333,0.31873527,0.711138,0.51025647,0.4114653,0.83030534,0.49189997,0.9012457,0.4196152,0.6018015,0.60120624,0.6050281,0.2830939,0.29227936
bbn,0.40287414,0.3022629,0.31605625,0.31316936,0.49172688,0.534971,0.38167635,0.36943367,0.26793003,0.12886894,0.37537885,0.28670597,0.4336055,0.58453053,0.38280773,0.2724634,0.45782906,0.35566908,0.6777893,0.62240744
bbt,0.13969989,0.31351733,0.03776155,0.1434078,0.9993262,0.28223458,0.9515416,0.13027315,0.32998675,0.9983045,0.99871945,0.107388504,0.99903464,0.99680233,0.472934,0.12637389,0.11001148,0.13188966,0.99666715,0.99629545
bcf,0.12716728,0.049827516,0.3206577,0.092758745,0.38757968,0.28057823,0.5644456,0.21653327,0.18942586,0.11063608,0.9180152,0.047032505,0.035173804,0.35960752,0.29341206,0.73050296,0.39388096,0.44607788,0.80914235,0.07913675
bcg,0.7462305,0.42719787,0.8303349,0.28547904,0.27535924,0.7387867,0.88462794,0.88459337,0.24143043,0.6495949,0.4123401,0.8297158,0.8973783,0.73878676,0.12485106,0.12759581,0.4262507,0.16984266,0.7107256,0.7743571
bci,0.39379162,0.7877288,0.36508965,0.18435404,0.18469824,0.6090107,0.7827116,0.5392133,0.74564826,0.3752219,0.5306616,0.8550291,0.17030993,0.6507666,0.47471356,0.5116913,0.7465495,0.5929326,0.5306882,0.69742465
bcj,0.17778872,0.36874402,0.2599272,0.47785902,0.49886143,0.19082205,0.6392263,0.13828278,0.51988006,0.19797161,0.5400777,0.9510756,0.61074597,0.28082788,0.1912501,0.03408537,0.827261,0.90141666,0.117963605,0.11699472
bcn,0.45465124,0.76108134,0.36493042,0.534531,0.11362804,0.8830491,0.19030315,0.7523638,0.26685607,0.080919966,0.08386268,0.43382615,0.5272467,0.5599536,0.829075,0.27255258,0.28688523,0.12302529,0.6242186,0.66281426
bcw,0.8486664,0.44917846,0.12913536,0.25052184,0.78348374,0.2409938,0.15529552,0.59532344,0.57384825,0.62956405,0.2182291,0.16032793,0.40439266,0.8920405,0.7094668,0.12204032,0.49286923,0.3703434,0.09533055,0.6816173
bdv,0.7313393,0.25053495,0.39192554,0.50753605,0.5010538,0.317011,0.272397,0.28400007,0.66745496,0.44321606,0.34429997,0.54885805,0.60869825,0.46225888,0.29231405,0.9060298,0.3919526,0.45117706,0.41177067,0.3534429
bep,0.47956157,0.38577056,0.40966743,0.734007,0.8196992,0.09976008,0.5436246,0.7280739,0.29081652,0.82900345,0.75976825,0.62123835,0.29240936,0.18444487,0.5892866,0.36329296,0.76722896,0.75829977,0.23204646,0.1612817
bew,0.114361346,0.12165413,0.13114029,0.13682017,0.26594448,0.28063905,0.5467532,0.99878013,0.9991164,0.15546098,0.14856556,0.042275175,0.12543383,0.6858413,0.1350756,0.14506237,0.9988712,0.26626325,0.9903731,0.17562175
bfc,0.33209604,0.3876912,0.91280514,0.30769032,0.902958,0.17817876,0.22900835,0.18498485,0.841696,0.35385674,0.14938365,0.32352293,0.4023794,0.13739792,0.49161774,0.8919639,0.21567796,0.14243484,0.1841197,0.34270537
bft,0.64151406,0.80566925,0.45827198,0.7051488,0.06625963,0.55525166,0.22878325,0.4467119,0.22349468,0.15532115,0.13928121,0.95123506,0.164001,0.22532716,0.15300825,0.15088287,0.09545301,0.17719108,0.15295886,0.7068157
bfx,0.49253806,0.5506766,0.46424192,0.31483483,0.7333975,0.34506154,0.74639547,0.82952684,0.17224514,0.3460755,0.835356,0.45049042,0.22590631,0.78263533,0.79458284,0.47448933,0.89481544,0.41111273,0.14742647,0.43591088
bhw,0.18282846,0.09257427,0.49456447,0.22132069,0.1838364,0.124019094,0.18422574,0.09169459,0.11247137,0.12030457,0.13138972,0.4072718,0.352867,0.1479401,0.13068901,0.08412856,0.96130157,0.20364508,0.11482512,0.12952769
bim,0.26276523,0.9168416,0.109050035,0.841709,0.3377169,0.31664848,0.2195032,0.17525923,0.3197319,0.85321486,0.19073287,0.18023013,0.840597,0.25319594,0.31628293,0.32564253,0.19525373,0.35805207,0.24526563,0.80837333
bis,0.99123204,0.3542516,0.9734498,0.11105816,0.15074621,0.9901679,0.99137783,0.19231251,0.16999331,0.98912513,0.12786321,0.2966742,0.16255727,0.52986014,0.104347415,0.10891672,0.9919758,0.14613463,0.0704434,0.98425263
biu,0.07125415,0.08651416,0.9184759,0.309495,0.060709942,0.12961671,0.9159187,0.10736149,0.115924135,0.11667302,0.05992745,0.0875364,0.32595682,0.73668337,0.12822716,0.35057715,0.09910238,0.36009026,0.14960195,0.7005185
bjq,0.11763699,0.10289983,0.5971569,0.48318762,0.7846556,0.49813017,0.43290615,0.31083328,0.13520533,0.5557525,0.25490034,0.6436918,0.33598733,0.16587612,0.23755187,0.45635968,0.121395946,0.124774784,0.535684,0.30735385
bjr,0.09240237,0.23814325,0.98736256,0.7089392,0.63369095,0.16302493,0.07032284,0.09242338,0.18914415,0.20210454,0.16844189,0.99169165,0.24414462,0.10565506,0.3413025,0.15710793,0.25628805,0.99947554,0.11227039,0.07407391
bkt,0.65724814,0.0968656,0.3272512,0.19691497,0.49816817,0.29265007,0.46393842,0.11819105,0.4067266,0.104217865,0.19628999,0.20611756,0.4387334,0.24177295,0.19461018,0.32923996,0.6249695,0.110251926,0.47994968,0.11357731
blg,0.2453427,0.4675144,0.61931753,0.6223284,0.5882634,0.68149585,0.71154964,0.63122606,0.12077968,0.827183,0.29163796,0.433137,0.63030934,0.5373167,0.54892176,0.8609625,0.5706034,0.10677435,0.42926586,0.115244746
blu,0.16606265,0.17296699,0.17048964,0.9985168,0.14618026,0.2684639,0.24669996,0.25873053,0.103517786,0.13686422,0.1004121,0.17693147,0.11171757,0.15016575,0.047873866,0.10686062,0.23443842,0.05782,0.16782916,0.9981451
bmj,0.40603614,0.31973413,0.26497164,0.50340664,0.74309945,0.49115282,0.500956,0.59334683,0.28333583,0.25965637,0.73933816,0.8847096,0.3079995,0.3019866,0.49550223,0.7833695,0.7789739,0.79185987,0.68959844,0.11366545
bmw,0.8498361,0.5143302,0.3221865,0.43670076,0.78547966,0.3326469,0.33690497,0.45567423,0.3814298,0.86472255,0.32125723,0.66895217,0.75782907,0.30571482,0.59735894,0.28766292,0.36894643,0.31800896,0.68618584,0.4202627
bni,0.32535273,0.12689891,0.52773356,0.2155953,0.9408462,0.63125134,0.8451558,0.5002574,0.34349626,0.22703755,0.65906465,0.15687248,0.6978948,0.1628562,0.8410246,0.77298236,0.5108845,0.14757949,0.554036,0.57894254
bnm,0.55772996,0.7957714,0.5529574,0.5014233,0.4485408,0.3510015,0.5109384,0.49057114,0.38140282,0.44593963,0.42278293,0.46790934,0.82680905,0.4684894,0.46454853,0.46210027,0.5719751,0.4433071,0.3999167,0.32035738
bos,0.05290913,0.14656144,0.266136,0.92534864,0.13541183,0.20498717,0.19470814,0.18402302,0.1507546,0.26046428,0.28601843,0.9035381,0.50828654,0.2088175,0.44796032,0.2468251,0.7744397,0.9448424,0.9857547,0.761048
bpg,0.38025197,0.51565194,0.08975867,0.5007457,0.71779287,0.15079322,0.4499303,0.1673089,0.1991311,0.11730626,0.72844315,0.5971464,0.096639596,0.19911802,0.3504195,0.20887047,0.09569679,0.78512335,0.45607102,0.7258819
bph,0.74015427,0.1702653,0.43218684,0.062390547,0.39687404,0.2329807,0.029049862,0.19576612,0.28952777,0.3654222,0.04072471,0.10907209,0.053332143,0.111216396,0.025459174,0.09881784,0.07690106,0.0389229,0.091507554,0.649243
bpv,0.45764512,0.5729252,0.5624406,0.109274894,0.5054425,0.6176933,0.54475284,0.51204056,0.5237561,0.36586553,0.17885792,0.75452113,0.6918518,0.30301002,0.43871635,0.22660457,0.5955844,0.18591438,0.10202263,0.7243177
bqc,0.24039873,0.46254796,0.99712527,0.1324214,0.20604338,0.32182783,0.9985447,0.16808216,0.9989344,0.19319594,0.9962826,0.18909775,0.07145292,0.19517934,0.18986419,0.996625,0.15122283,0.9493029,0.11002749,0.7487693
bqp,0.20395426,0.14615545,0.17079529,0.31592548,0.2057851,0.16187221,0.9702693,0.17540388,0.18591812,0.1620959,0.29282197,0.122760154,0.54556775,0.18874258,0.36048287,0.9909821,0.49048865,0.97120196,0.97140336,0.5354713
bqq,0.2687402,0.122294426,0.12604299,0.12957324,0.9351194,0.081944324,0.12421909,0.11019558,0.9936373,0.3107803,0.12770738,0.17611666,0.1964338,0.20907733,0.13981165,0.9981311,0.21647638,0.20620434,0.16644041,0.10992464
brj,0.86327094,0.14058517,0.2248233,0.060306996,0.9269133,0.2472572,0.93613595,0.17995232,0.061929487,0.16405201,0.79924655,0.121749684,0.0755422,0.38968804,0.17447174,0.68860376,0.3477678,0.06869167,0.08410275,0.037821256
brr,0.17172699,0.13300954,0.11086923,0.96777475,0.27526587,0.23551461,0.10422483,0.08575946,0.07021195,0.98710227,0.21949683,0.20993587,0.19832021,0.2240908,0.18659954,0.98654515,0.33435258,0.9636611,0.11970231,0.23534259
bug,0.90862244,0.8973195,0.718881,0.5369142,0.880427,0.23853482,0.6008954,0.8904176,0.8590729,0.3727309,0.4263518,0.4533888,0.29358315,0.8967794,0.5273309,0.22740877,0.44548273,0.8816136,0.41025648,0.50565046
bul,0.74726707,0.4957924,0.4302413,0.6739421,0.6040194,0.54352665,0.6862159,0.3731722,0.31217295,0.69851637,0.25364226,0.535514,0.48153752,0.27551305,0.24722639,0.2649421,0.4342543,0.331807,0.671,0.53286386
buw,0.65148056,0.14291793,0.829191,0.15768987,0.50557774,0.66136044,0.6031219,0.08388477,0.24983987,0.09094265,0.13520986,0.18289971,0.716022,0.16287225,0.12976131,0.35684463,0.36864796,0.11600362,0.67860144,0.4519729
buy,0.18375558,0.38480917,0.08401695,0.27414408,0.28862345,0.43118548,0.07361679,0.40004212,0.72948265,0.74176335,0.07699801,0.31190485,0.32431853,0.4738673,0.20654653,0.06984419,0.5631168,0.49222496,0.11382912,0.21444768
bvh,0.07874292,0.17271744,0.0640627,0.5967009,0.5206191,0.13637444,0.18044499,0.5706507,0.9603268,0.96837723,0.121876076,0.3478542,0.2584144,0.79431754,0.33667886,0.641518,0.1435667,0.8581894,0.9281353,0.15322796
bvi,0.26172632,0.2759289,0.611047,0.1278111,0.088260904,0.49572107,0.4353325,0.7454678,0.19058202,0.41249335,0.25754946,0.15757763,0.5756573,0.166139,0.83344376,0.35645634,0.25984842,0.16138536,0.27441427,0.07251567
bvs,0.47041932,0.28166267,0.3052305,0.14323525,0.6206888,0.16525513,0.87588555,0.15551378,0.37484208,0.14873514,0.21898645,0.8171438,0.29309237,0.685225,0.7511419,0.30065635,0.7034056,0.23744863,0.1668909,0.26800373
bvw,0.17869523,0.19329175,0.74379593,0.8824102,0.17226148,0.6861861,0.38012302,0.8534752,0.26124373,0.12883459,0.33756804,0.32581156,0.11103822,0.33309257,0.14592521,0.53407574,0.1746719,0.35694215,0.1807628,0.28695333
bwb,0.25748265,0.61982256,0.42787728,0.40429848,0.87670684,0.6136446,0.095745385,0.47558373,0.10893008,0.038982887,0.7248514,0.76384604,0.043052405,0.4983058,0.3130526,0.4664583,0.77096754,0.25800902,0.9725574,0.32830235
